cp7,concelho,distrito
9000-684,funchal,madeira
9050-445,funchal,madeira
9000-649,funchal,madeira
9000-005,funchal,madeira
9000-612,funchal,madeira
9000-680,funchal,madeira
9000-068,funchal,madeira
9000-246,funchal,madeira
9050-070,funchal,madeira
9020-105,funchal,madeira
9000-083,funchal,madeira
9050-053,funchal,madeira
9020-316,funchal,madeira
9020-123,funchal,madeira
9000-645,funchal,madeira
9000-236,funchal,madeira
9020-415,funchal,madeira
9050-401,funchal,madeira
9000-614,funchal,madeira
9000-042,funchal,madeira
9000-045,funchal,madeira
9000-749,funchal,madeira
9050-047,funchal,madeira
9000-065,funchal,madeira
9004-516,funchal,madeira
9004-512,funchal,madeira
9000-034,funchal,madeira
9050-089,funchal,madeira
9050-024,funchal,madeira
9000-057,funchal,madeira
9000-267,funchal,madeira
9020-015,funchal,madeira
9000-018,funchal,madeira
9000-026,funchal,madeira
9000-075,funchal,madeira
9000-747,funchal,madeira
9060-160,funchal,madeira
9000-265,funchal,madeira
9000-669,funchal,madeira
9000-047,funchal,madeira
9020-187,funchal,madeira
9060-011,funchal,madeira
9050-489,funchal,madeira
9000-043,funchal,madeira
9000-190,funchal,madeira
9050-080,funchal,madeira
9000-742,funchal,madeira
9004-524,funchal,madeira
9000-144,funchal,madeira
9000-743,funchal,madeira
9060-194,funchal,madeira
9000-206,funchal,madeira
9000-016,funchal,madeira
9020-409,funchal,madeira
9000-727,funchal,madeira
9000-736,funchal,madeira
9000-765,funchal,madeira
9050-069,funchal,madeira
9000-160,funchal,madeira
9000-192,funchal,madeira
9050-328,funchal,madeira
9000-782,funchal,madeira
9000-628,funchal,madeira
9000-647,funchal,madeira
9000-171,funchal,madeira
9004-537,funchal,madeira
9000-163,funchal,madeira
9000-082,funchal,madeira
9000-061,funchal,madeira
9000-663,funchal,madeira
9000-015,funchal,madeira
9050-440,funchal,madeira
9000-216,funchal,madeira
9000-208,funchal,madeira
9020-040,funchal,madeira
9000-759,funchal,madeira
9000-153,funchal,madeira
9000-162,funchal,madeira
9020-102,funchal,madeira
9000-500,funchal,madeira
9000-187,funchal,madeira
9000-113,funchal,madeira
9000-266,funchal,madeira
9000-012,funchal,madeira
9000-168,funchal,madeira
9000-039,funchal,madeira
9050-026,funchal,madeira
9000-145,funchal,madeira
9020-130,funchal,madeira
9000-735,funchal,madeira
9000-105,funchal,madeira
9000-716,funchal,madeira
9000-221,funchal,madeira
9000-756,funchal,madeira
9020-027,funchal,madeira
9020-072,funchal,madeira
9000-116,funchal,madeira
9000-019,funchal,madeira
9000-070,funchal,madeira
9000-248,funchal,madeira
9050-048,funchal,madeira
9020-329,funchal,madeira
9020-001,funchal,madeira
9000-428,funchal,madeira
9050-206,funchal,madeira
9000-213,funchal,madeira
9000-090,funchal,madeira
9020-426,funchal,madeira
9050-447,funchal,madeira
9020-198,funchal,madeira
9000-048,funchal,madeira
9000-038,funchal,madeira
9020-062,funchal,madeira
9000-088,funchal,madeira
9000-767,funchal,madeira
9000-776,funchal,madeira
9000-020,funchal,madeira
9000-250,funchal,madeira
9000-000,funchal,madeira
9000-167,funchal,madeira
9000-154,funchal,madeira
9000-643,funchal,madeira
9050-064,funchal,madeira
9000-641,funchal,madeira
9000-174,funchal,madeira
9000-166,funchal,madeira
9000-100,funchal,madeira
9000-059,funchal,madeira
9000-170,funchal,madeira
9020-411,funchal,madeira
9000-064,funchal,madeira
9050-555,funchal,madeira
9060-380,funchal,madeira
9000-080,funchal,madeira
9050-052,funchal,madeira
9020-176,funchal,madeira
9000-141,funchal,madeira
9000-050,funchal,madeira
9000-739,funchal,madeira
9000-081,funchal,madeira
9000-111,funchal,madeira
9000-017,funchal,madeira
9000-690,funchal,madeira
9060-271,funchal,madeira
9000-028,funchal,madeira
9000-273,funchal,madeira
9000-754,funchal,madeira
9020-103,funchal,madeira
9200-000,machico,madeira
9200-216,machico,madeira
9200-201,machico,madeira
9200-134,machico,madeira
9225-050,machico,madeira
9200-112,machico,madeira
9200-032,machico,madeira
9200-209,machico,madeira
9230-000,santana,madeira
9100-146,santa cruz,madeira
9100-000,santa cruz,madeira
9100-156,santa cruz,madeira
9135-430,santa cruz,madeira
9100-180,santa cruz,madeira
9400-000,porto santo,madeira
9360-516,ponta do sol,madeira
9360-000,ponta do sol,madeira
9360-559,ponta do sol,madeira
9360-544,ponta do sol,madeira
9360-561,ponta do sol,madeira
9360-537,ponta do sol,madeira
9360-523,ponta do sol,madeira
9360-543,ponta do sol,madeira
9240-019,são vicente,madeira
9240-108,são vicente,madeira
9240-217,são vicente,madeira
9240-020,são vicente,madeira
9240-215,são vicente,madeira
9240-207,são vicente,madeira
9240-000,são vicente,madeira
9240-211,são vicente,madeira
9240-216,são vicente,madeira
9240-222,são vicente,madeira
9350-146,ribeira brava,madeira
9350-416,ribeira brava,madeira
9350-419,ribeira brava,madeira
9350-091,ribeira brava,madeira
9300-000,câmara de lobos,madeira
9300-029,câmara de lobos,madeira
9325-052,câmara de lobos,madeira
9300-091,câmara de lobos,madeira
9300-092,câmara de lobos,madeira
9300-306,câmara de lobos,madeira
9300-006,câmara de lobos,madeira
9325-331,câmara de lobos,madeira
9300-303,câmara de lobos,madeira
9300-076,câmara de lobos,madeira
9300-167,câmara de lobos,madeira
9300-161,câmara de lobos,madeira
9300-004,câmara de lobos,madeira
9300-155,câmara de lobos,madeira
9300-090,câmara de lobos,madeira
9300-166,câmara de lobos,madeira
9370-572,calheta (madeira),madeira
9370-175,calheta (madeira),madeira
9370-057,calheta (madeira),madeira
9370-264,calheta (madeira),madeira
9370-620,calheta (madeira),madeira
9370-112,calheta (madeira),madeira
9370-711,calheta (madeira),madeira
9370-056,calheta (madeira),madeira
9370-715,calheta (madeira),madeira
9370-048,calheta (madeira),madeira
9370-075,calheta (madeira),madeira
9370-275,calheta (madeira),madeira
9370-765,calheta (madeira),madeira
9370-644,calheta (madeira),madeira
9370-136,calheta (madeira),madeira
9370-217,calheta (madeira),madeira
9370-077,calheta (madeira),madeira
9370-635,calheta (madeira),madeira
9370-731,calheta (madeira),madeira
9370-090,calheta (madeira),madeira
9370-611,calheta (madeira),madeira
9370-079,calheta (madeira),madeira
9370-581,calheta (madeira),madeira
9370-139,calheta (madeira),madeira
9370-705,calheta (madeira),madeira
9370-640,calheta (madeira),madeira
9370-255,calheta (madeira),madeira
4950-000,monção,viana do castelo
4910-000,caminha,viana do castelo
4930-000,valença,viana do castelo
4930-304,valença,viana do castelo
4990-000,ponte de lima,viana do castelo
4900-000,viana do castelo,viana do castelo
4970-515,arcos de valdevez,viana do castelo
9400-075,porto santo,madeira
9400-198,porto santo,madeira
9400-139,porto santo,madeira
9400-230,porto santo,madeira
9400-132,porto santo,madeira
9400-140,porto santo,madeira
9400-060,porto santo,madeira
9400-172,porto santo,madeira
9400-035,porto santo,madeira
9400-045,porto santo,madeira
9400-192,porto santo,madeira
9400-137,porto santo,madeira
9400-131,porto santo,madeira
9400-200,porto santo,madeira
9400-210,porto santo,madeira
9400-133,porto santo,madeira
9400-085,porto santo,madeira
9400-155,porto santo,madeira
9400-199,porto santo,madeira
9400-010,porto santo,madeira
9400-191,porto santo,madeira
9400-242,porto santo,madeira
9400-159,porto santo,madeira
9400-197,porto santo,madeira
9400-212,porto santo,madeira
9400-181,porto santo,madeira
9400-162,porto santo,madeira
9400-213,porto santo,madeira
9675-061,povoação,açores
9675-022,povoação,açores
9500-517,ponta delgada,açores
9500-087,ponta delgada,açores
9555-066,ponta delgada,açores
9545-032,ponta delgada,açores
9545-036,ponta delgada,açores
9555-016,ponta delgada,açores
9545-026,ponta delgada,açores
9555-040,ponta delgada,açores
9555-060,ponta delgada,açores
9500-020,ponta delgada,açores
9500-076,ponta delgada,açores
9545-028,ponta delgada,açores
9500-015,ponta delgada,açores
9500-068,ponta delgada,açores
9555-015,ponta delgada,açores
9545-064,ponta delgada,açores
9555-047,ponta delgada,açores
9500-079,ponta delgada,açores
9500-032,ponta delgada,açores
9500-050,ponta delgada,açores
9500-078,ponta delgada,açores
9500-082,ponta delgada,açores
9500-044,ponta delgada,açores
9555-043,ponta delgada,açores
9545-027,ponta delgada,açores
9500-040,ponta delgada,açores
9545-053,ponta delgada,açores
9500-065,ponta delgada,açores
9500-083,ponta delgada,açores
9500-031,ponta delgada,açores
9545-021,ponta delgada,açores
9500-099,ponta delgada,açores
9555-061,ponta delgada,açores
9545-025,ponta delgada,açores
9500-013,ponta delgada,açores
9500-042,ponta delgada,açores
9545-056,ponta delgada,açores
9555-069,ponta delgada,açores
9500-016,ponta delgada,açores
9555-023,ponta delgada,açores
9500-043,ponta delgada,açores
9500-014,ponta delgada,açores
9555-041,ponta delgada,açores
9545-011,ponta delgada,açores
9545-066,ponta delgada,açores
9500-075,ponta delgada,açores
9500-095,ponta delgada,açores
9500-097,ponta delgada,açores
9500-070,ponta delgada,açores
9555-093,ponta delgada,açores
9545-029,ponta delgada,açores
9500-022,ponta delgada,açores
9500-026,ponta delgada,açores
9500-071,ponta delgada,açores
9500-096,ponta delgada,açores
9500-037,ponta delgada,açores
9545-058,ponta delgada,açores
9500-027,ponta delgada,açores
9555-062,ponta delgada,açores
9500-049,ponta delgada,açores
9500-085,ponta delgada,açores
9555-032,ponta delgada,açores
9500-081,ponta delgada,açores
9500-051,ponta delgada,açores
9555-017,ponta delgada,açores
9500-088,ponta delgada,açores
9555-073,ponta delgada,açores
9545-068,ponta delgada,açores
9545-080,ponta delgada,açores
9545-538,ponta delgada,açores
9500-038,ponta delgada,açores
9545-038,ponta delgada,açores
9500-073,ponta delgada,açores
9555-014,ponta delgada,açores
9545-062,ponta delgada,açores
9500-039,ponta delgada,açores
9500-028,ponta delgada,açores
9500-069,ponta delgada,açores
9500-053,ponta delgada,açores
9545-035,ponta delgada,açores
9500-021,ponta delgada,açores
9500-054,ponta delgada,açores
9555-021,ponta delgada,açores
9555-033,ponta delgada,açores
9500-089,ponta delgada,açores
9500-063,ponta delgada,açores
9555-018,ponta delgada,açores
9500-093,ponta delgada,açores
9500-062,ponta delgada,açores
9500-035,ponta delgada,açores
9555-031,ponta delgada,açores
9545-031,ponta delgada,açores
9500-080,ponta delgada,açores
9500-030,ponta delgada,açores
9545-020,ponta delgada,açores
9500-091,ponta delgada,açores
9500-066,ponta delgada,açores
9500-052,ponta delgada,açores
9545-052,ponta delgada,açores
9555-076,ponta delgada,açores
9555-013,ponta delgada,açores
9500-010,ponta delgada,açores
9500-057,ponta delgada,açores
9500-023,ponta delgada,açores
9545-051,ponta delgada,açores
9500-072,ponta delgada,açores
9555-075,ponta delgada,açores
9545-059,ponta delgada,açores
9500-060,ponta delgada,açores
9500-033,ponta delgada,açores
9555-019,ponta delgada,açores
9500-045,ponta delgada,açores
9500-061,ponta delgada,açores
9555-045,ponta delgada,açores
9545-024,ponta delgada,açores
9500-074,ponta delgada,açores
9500-084,ponta delgada,açores
9545-244,ponta delgada,açores
9545-063,ponta delgada,açores
9500-059,ponta delgada,açores
9500-055,ponta delgada,açores
9504-545,ponta delgada,açores
9545-030,ponta delgada,açores
9545-061,ponta delgada,açores
9555-081,ponta delgada,açores
9555-025,ponta delgada,açores
9500-086,ponta delgada,açores
9555-022,ponta delgada,açores
9500-094,ponta delgada,açores
9545-060,ponta delgada,açores
9555-012,ponta delgada,açores
9500-092,ponta delgada,açores
9500-012,ponta delgada,açores
9555-067,ponta delgada,açores
9600-019,ribeira grande,açores
9600-063,ribeira grande,açores
9625-025,ribeira grande,açores
9600-057,ribeira grande,açores
9625-035,ribeira grande,açores
9600-074,ribeira grande,açores
9600-067,ribeira grande,açores
9600-052,ribeira grande,açores
9625-502,ribeira grande,açores
9600-069,ribeira grande,açores
9625-023,ribeira grande,açores
9600-092,ribeira grande,açores
9600-083,ribeira grande,açores
9600-077,ribeira grande,açores
9600-068,ribeira grande,açores
9600-055,ribeira grande,açores
9600-061,ribeira grande,açores
9625-032,ribeira grande,açores
9600-093,ribeira grande,açores
9600-051,ribeira grande,açores
9600-091,ribeira grande,açores
9600-072,ribeira grande,açores
9600-507,ribeira grande,açores
9625-014,ribeira grande,açores
9600-054,ribeira grande,açores
9600-096,ribeira grande,açores
9625-203,ribeira grande,açores
9600-081,ribeira grande,açores
9600-016,ribeira grande,açores
9600-579,ribeira grande,açores
9600-062,ribeira grande,açores
9600-095,ribeira grande,açores
9600-053,ribeira grande,açores
9600-084,ribeira grande,açores
9600-075,ribeira grande,açores
9625-021,ribeira grande,açores
9600-011,ribeira grande,açores
9600-020,ribeira grande,açores
9625-026,ribeira grande,açores
9600-022,ribeira grande,açores
9600-085,ribeira grande,açores
9600-097,ribeira grande,açores
9600-230,ribeira grande,açores
9625-022,ribeira grande,açores
9600-017,ribeira grande,açores
9625-028,ribeira grande,açores
9600-089,ribeira grande,açores
9600-078,ribeira grande,açores
9625-013,ribeira grande,açores
9600-058,ribeira grande,açores
9600-086,ribeira grande,açores
9625-204,ribeira grande,açores
9600-071,ribeira grande,açores
9625-034,ribeira grande,açores
9600-012,ribeira grande,açores
9600-502,ribeira grande,açores
9600-070,ribeira grande,açores
9600-079,ribeira grande,açores
9600-073,ribeira grande,açores
9600-087,ribeira grande,açores
9600-082,ribeira grande,açores
9625-060,ribeira grande,açores
9600-076,ribeira grande,açores
9600-015,ribeira grande,açores
9625-031,ribeira grande,açores
9600-098,ribeira grande,açores
9600-056,ribeira grande,açores
9600-059,ribeira grande,açores
9600-018,ribeira grande,açores
9600-410,ribeira grande,açores
9625-029,ribeira grande,açores
9600-088,ribeira grande,açores
9600-060,ribeira grande,açores
9625-030,ribeira grande,açores
9600-065,ribeira grande,açores
9600-021,ribeira grande,açores
9625-027,ribeira grande,açores
9600-106,ribeira grande,açores
9600-064,ribeira grande,açores
9600-090,ribeira grande,açores
9625-033,ribeira grande,açores
9560-073,lagoa (são miguel),açores
9560-013,lagoa (são miguel),açores
9560-022,lagoa (são miguel),açores
9560-070,lagoa (são miguel),açores
9560-052,lagoa (são miguel),açores
9560-037,lagoa (são miguel),açores
9560-041,lagoa (são miguel),açores
9560-033,lagoa (são miguel),açores
9560-024,lagoa (são miguel),açores
9560-087,lagoa (são miguel),açores
9560-030,lagoa (são miguel),açores
9560-077,lagoa (são miguel),açores
9560-061,lagoa (são miguel),açores
9560-038,lagoa (são miguel),açores
9560-080,lagoa (são miguel),açores
9560-054,lagoa (são miguel),açores
9560-050,lagoa (são miguel),açores
9560-042,lagoa (são miguel),açores
9560-097,lagoa (são miguel),açores
9560-086,lagoa (são miguel),açores
9560-082,lagoa (são miguel),açores
9560-035,lagoa (são miguel),açores
9560-048,lagoa (são miguel),açores
9560-084,lagoa (são miguel),açores
9560-064,lagoa (são miguel),açores
9560-067,lagoa (são miguel),açores
9560-094,lagoa (são miguel),açores
9560-020,lagoa (são miguel),açores
9560-095,lagoa (são miguel),açores
9560-093,lagoa (são miguel),açores
9560-083,lagoa (são miguel),açores
9560-053,lagoa (são miguel),açores
9560-055,lagoa (são miguel),açores
9560-026,lagoa (são miguel),açores
9560-031,lagoa (são miguel),açores
9560-057,lagoa (são miguel),açores
9560-021,lagoa (são miguel),açores
9560-036,lagoa (são miguel),açores
9560-017,lagoa (são miguel),açores
9560-090,lagoa (são miguel),açores
9560-096,lagoa (são miguel),açores
9560-089,lagoa (são miguel),açores
9560-027,lagoa (são miguel),açores
9560-014,lagoa (são miguel),açores
9560-051,lagoa (são miguel),açores
9560-029,lagoa (são miguel),açores
9560-039,lagoa (são miguel),açores
9560-078,lagoa (são miguel),açores
9560-088,lagoa (são miguel),açores
9560-063,lagoa (são miguel),açores
9560-011,lagoa (são miguel),açores
9560-010,lagoa (são miguel),açores
9560-043,lagoa (são miguel),açores
9560-060,lagoa (são miguel),açores
9560-085,lagoa (são miguel),açores
9560-062,lagoa (são miguel),açores
9560-059,lagoa (são miguel),açores
9560-046,lagoa (são miguel),açores
9560-091,lagoa (são miguel),açores
9560-099,lagoa (são miguel),açores
9560-079,lagoa (são miguel),açores
9560-098,lagoa (são miguel),açores
9560-065,lagoa (são miguel),açores
9560-075,lagoa (são miguel),açores
9560-081,lagoa (são miguel),açores
9560-044,lagoa (são miguel),açores
9560-058,lagoa (são miguel),açores
9560-015,lagoa (são miguel),açores
9560-047,lagoa (são miguel),açores
9560-074,lagoa (são miguel),açores
9560-071,lagoa (são miguel),açores
9560-049,lagoa (são miguel),açores
9680-423,vila franca do campo,açores
9680-060,vila franca do campo,açores
9680-028,vila franca do campo,açores
9680-015,vila franca do campo,açores
9680-441,vila franca do campo,açores
9680-183,vila franca do campo,açores
9680-464,vila franca do campo,açores
9680-027,vila franca do campo,açores
9680-024,vila franca do campo,açores
9680-454,vila franca do campo,açores
9680-468,vila franca do campo,açores
9680-017,vila franca do campo,açores
9680-019,vila franca do campo,açores
9680-018,vila franca do campo,açores
9680-434,vila franca do campo,açores
9680-148,vila franca do campo,açores
9680-022,vila franca do campo,açores
9680-437,vila franca do campo,açores
9680-428,vila franca do campo,açores
9680-025,vila franca do campo,açores
9680-520,vila franca do campo,açores
9680-029,vila franca do campo,açores
9680-430,vila franca do campo,açores
9680-026,vila franca do campo,açores
9680-466,vila franca do campo,açores
9680-442,vila franca do campo,açores
9680-421,vila franca do campo,açores
9680-016,vila franca do campo,açores
9680-021,vila franca do campo,açores
9680-023,vila franca do campo,açores
8100-512,loulé,faro
8125-602,loulé,faro
8100-330,loulé,faro
8125-135,loulé,faro
8800-124,tavira,faro
3260-000,figueiró dos vinhos,leiria
1990-087,lisboa,lisboa
1685-930,odivelas,lisboa
3040-630,coimbra,coimbra
2435-683,ourém,santarém
9060-204,funchal,madeira
9000-011,funchal,madeira
9020-037,funchal,madeira
9050-221,funchal,madeira
9060-027,funchal,madeira
9020-148,funchal,madeira
9060-429,funchal,madeira
9000-117,funchal,madeira
9050-099,funchal,madeira
9020-119,funchal,madeira
9060-246,funchal,madeira
9020-422,funchal,madeira
9020-121,funchal,madeira
9020-259,funchal,madeira
9050-095,funchal,madeira
9020-151,funchal,madeira
9020-128,funchal,madeira
9020-132,funchal,madeira
9020-191,funchal,madeira
9050-014,funchal,madeira
9060-174,funchal,madeira
9050-022,funchal,madeira
9020-214,funchal,madeira
9020-349,funchal,madeira
9000-211,funchal,madeira
9050-097,funchal,madeira
9000-155,funchal,madeira
9060-082,funchal,madeira
9000-270,funchal,madeira
9000-119,funchal,madeira
9020-201,funchal,madeira
9000-619,funchal,madeira
9020-097,funchal,madeira
9060-141,funchal,madeira
9050-458,funchal,madeira
9050-085,funchal,madeira
9060-313,funchal,madeira
9050-073,funchal,madeira
9060-147,funchal,madeira
9050-072,funchal,madeira
9020-270,funchal,madeira
9020-149,funchal,madeira
9020-391,funchal,madeira
9000-069,funchal,madeira
9060-173,funchal,madeira
9050-218,funchal,madeira
9000-653,funchal,madeira
9020-129,funchal,madeira
9020-004,funchal,madeira
9060-395,funchal,madeira
9000-224,funchal,madeira
9060-400,funchal,madeira
9020-343,funchal,madeira
9050-219,funchal,madeira
9020-234,funchal,madeira
9060-007,funchal,madeira
9270-156,porto moniz,madeira
9360-531,ponta do sol,madeira
9360-554,ponta do sol,madeira
9360-576,ponta do sol,madeira
9360-572,ponta do sol,madeira
9240-121,são vicente,madeira
9300-047,câmara de lobos,madeira
9370-083,calheta (madeira),madeira
9370-546,calheta (madeira),madeira
9400-134,porto santo,madeira
9400-129,porto santo,madeira
9400-220,porto santo,madeira
9400-231,porto santo,madeira
9400-110,porto santo,madeira
9400-237,porto santo,madeira
9400-194,porto santo,madeira
9400-100,porto santo,madeira
9400-168,porto santo,madeira
9400-141,porto santo,madeira
9400-179,porto santo,madeira
9400-055,porto santo,madeira
9400-128,porto santo,madeira
9400-125,porto santo,madeira
9400-050,porto santo,madeira
9400-185,porto santo,madeira
9400-234,porto santo,madeira
9580-012,vila do porto,açores
9580-030,vila do porto,açores
9580-024,vila do porto,açores
9580-011,vila do porto,açores
9580-475,vila do porto,açores
9580-019,vila do porto,açores
9580-018,vila do porto,açores
9630-049,nordeste,açores
9630-016,nordeste,açores
9630-082,nordeste,açores
9630-019,nordeste,açores
9630-050,nordeste,açores
9630-083,nordeste,açores
9630-051,nordeste,açores
9630-045,nordeste,açores
9630-043,nordeste,açores
9630-042,nordeste,açores
9630-087,nordeste,açores
9630-081,nordeste,açores
9630-021,nordeste,açores
9630-044,nordeste,açores
9630-086,nordeste,açores
9630-090,nordeste,açores
9630-014,nordeste,açores
9630-091,nordeste,açores
9675-038,povoação,açores
9675-057,povoação,açores
9650-018,povoação,açores
9650-022,povoação,açores
9675-024,povoação,açores
9675-058,povoação,açores
9675-064,povoação,açores
9650-015,povoação,açores
9675-052,povoação,açores
9675-041,povoação,açores
9675-040,povoação,açores
9675-039,povoação,açores
9675-055,povoação,açores
9675-030,povoação,açores
9675-069,povoação,açores
9675-042,povoação,açores
9545-057,ponta delgada,açores
9560-068,lagoa (são miguel),açores
